elapsed_sec,hr_bpm
4,84.5
5,90.6
6,85.6
7,75.9
8,71.7
9,69.8
10,64.5
11,59.8
12,57.8
13,55.1
14,48.5
15,46.2
16,48.9
17,73.1
18,95.9
19,93.1
20,90.9
21,81.6
22,79.9
23,79.8
24,79.9
25,79.9
26,80.0
27,80.2
28,80.2
29,77.9
30,77.8
31,77.8
32,75.5
33,75.5
34,75.5
35,75.5
36,82.6
37,68.4
38,68.3
39,68.3
40,56.5
41,84.6
42,84.4
43,84.4
44,84.4
45,84.4
46,68.0
47,68.0
48,68.0
49,68.0
50,68.0
51,68.0
52,68.0
53,67.9
54,65.6
55,67.9
56,68.0
57,65.8
58,65.8
59,65.8
60,75.2
61,75.3
62,63.6
63,63.6
64,63.6
65,63.6
66,63.6
67,63.6
68,63.6
69,63.6
70,63.6
71,65.8
72,65.8
73,65.8
74,68.3
75,68.2
76,68.1
77,68.3
78,68.3
79,68.3
80,68.3
81,68.3
82,68.3
83,68.3
84,68.3
85,65.9
86,65.9
87,65.9
88,65.9
89,65.8
90,65.8
91,63.4
92,75.0
93,75.0
94,75.0
95,75.0
96,75.0
97,75.0
98,58.6
99,72.7
100,72.6
101,72.6
102,56.2
103,70.3
104,70.3
105,68.0
106,68.0
107,68.1
108,68.1
109,68.1
110,68.1
111,68.1
112,68.1
113,65.8
114,65.8
115,79.8
116,79.8
117,72.8
118,75.2
119,77.5
120,77.5
121,77.7
122,77.5
123,70.6
124,77.7
125,77.7
126,77.7
127,66.2
128,65.3
129,64.2
130,64.3
131,64.6
132,64.6
133,64.6
134,64.6
135,64.4
136,64.4
137,64.3
138,66.7
139,66.8
140,66.8
141,64.1
142,64.1
143,72.1
144,80.4
145,59.0
146,58.7
147,58.7
148,58.7
149,58.7
150,56.4
151,56.4
152,56.4
153,56.4
154,56.3
155,70.3
156,70.3
157,70.3
158,70.5
159,70.5
160,70.5
161,70.5
162,70.5
163,70.5
164,72.8
165,73.0
166,73.1
167,73.1
168,101.4
169,101.4
170,51.9
171,51.9
172,51.9
173,51.8
174,77.7
175,65.9
176,65.9
177,65.9
178,75.3
179,51.8
180,75.1
181,75.0
182,75.0
183,72.7
184,72.7
185,72.7
186,75.0
187,75.0
188,75.0
189,91.4
190,91.4
191,93.8
192,93.8
193,93.7
194,96.1
195,96.1
196,77.3
197,70.3
198,70.3
199,69.1
200,68.0
201,89.0
202,89.0
203,89.1
204,89.1
205,70.3
206,70.3
207,70.3
208,72.6
209,72.7
210,72.7
211,72.6
212,84.3
213,70.3
214,70.3
215,70.3
216,70.3
217,70.3
218,58.6
219,58.6
220,58.6
221,58.6
222,70.3
223,70.5
224,91.6
225,68.3
226,68.3
227,70.6
228,68.3
229,68.3
230,68.3
231,68.3
232,68.3
233,68.3
234,68.3
235,68.3
236,68.3
237,65.8
238,65.8
239,65.7
240,65.6
241,68.0
242,68.0
243,68.0
244,69.1
245,70.5
246,70.5
247,70.5
248,72.8
249,72.8
250,72.8
251,72.8
252,70.5
253,70.5
254,70.4
255,70.5
256,70.4
257,68.1
258,68.1
259,65.8
260,65.6
261,65.6
262,65.6
263,93.7
264,93.7
265,93.7
266,93.7
267,93.7
268,62.1
269,68.0
270,76.2
271,56.3
272,77.3
273,84.4
274,70.3
275,70.3
276,61.8
277,61.8
278,59.4
279,59.4
280,61.8
281,61.8
282,62.9
283,64.1
284,70.1
285,65.4
286,76.2
287,76.2
288,76.2
289,76.2
290,73.7
291,73.6
292,73.6
293,73.6
294,71.3
295,71.3
296,72.2
297,72.5
298,70.3
299,70.8
